Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1796.8669936282108
FDW14,OUT017,1742.6332772311537
NCN55,OUT010,1668.65120924524
FDQ58,OUT017,1852.4322718747567
FDY38,OUT027,1935.4059818939552
FDH56,OUT046,1793.753615277092
FDL48,OUT018,1673.6592365795814
FDC48,OUT027,1860.9616767012803
FDN33,OUT045,1758.1131145277604
FDA36,OUT017,1828.571360985292
FDT44,OUT017,1803.5162925567881
FDQ56,OUT045,1744.4710338275875
NCC54,OUT019,1593.5037991558052
FDU11,OUT049,1756.205934109513
DRL59,OUT013,1724.1312461362804
FDM24,OUT049,1786.5013421403976
FDI57,OUT045,1721.5950101045166
DRC12,OUT018,1751.7479786504127
NCM42,OUT027,1913.8915407965283
FDA46,OUT010,1549.3315607633176
FDA31,OUT013,1847.9316728923775
NCJ31,OUT035,1762.8484876919313
FDG52,OUT046,1708.9725500331901
NCL19,OUT019,1649.4348569565198
FDS10,OUT035,1890.8695715349775
FDX22,OUT010,1582.6164576075955
NCF19,OUT035,1767.4559794218928
NCE06,OUT046,1826.12626480428
DRC27,OUT046,1868.0241546189836
FDE21,OUT035,1813.5220398171566
NCR42,OUT019,1505.3958108604043
FDX51,OUT018,1764.5296998001222
NCR06,OUT018,1690.316667638161
FDU31,OUT027,1993.653889378081
FDU59,OUT017,1780.1977090173336
FDR03,OUT027,1902.8415705008385
FDS49,OUT027,1872.47293811121
FDD48,OUT010,1533.3783849179567
NCF18,OUT017,1878.4687149693455
NCD43,OUT027,1916.327720900944
NCD54,OUT018,1754.4938690183299
FDY19,OUT010,1536.546141371557
NCY54,OUT017,1832.0581137406318
NCL19,OUT018,1723.896324620018
FDP23,OUT010,1649.3163997243846
FDC26,OUT013,1781.2700954878298
FDR14,OUT010,1552.4902450670713
NCS41,OUT035,1840.2273424321281
FDF41,OUT035,1890.5914752369872
FDU34,OUT046,1808.0791736418998
DRH11,OUT046,1716.7644234261284
FDM03,OUT013,1768.8425413683526
FDS31,OUT017,1875.5799156704197
FDJ20,OUT017,1803.914509188341
FDV44,OUT027,1976.7888788445107
FDG02,OUT049,1834.944669917473
FDA09,OUT013,1879.3182318317067
FDT04,OUT013,1713.5691468293296
FDL58,OUT019,1581.1259049028733
FDE52,OUT045,1744.4463142056863
FDW12,OUT035,1808.1290640810544
FDL51,OUT017,1858.912339081437
NCY42,OUT027,1934.8689603936616
FDR07,OUT017,1782.7063435075138
FDN40,OUT045,1791.723965618281
FDB35,OUT027,1761.2821577376094
FDA22,OUT017,1744.7285787158294
NCL06,OUT046,1910.368956518184
FDI35,OUT013,1758.0391345788623
NCW42,OUT045,1889.6428532630368
NCX06,OUT049,1864.9546232037999
FDC37,OUT027,1882.303903629409
FDZ14,OUT018,1722.8363048247088
DRG49,OUT049,1827.7164399334579
NCG06,OUT045,1915.5988259996377
DRC36,OUT045,1789.0207046829166
FDV21,OUT019,1546.4923820868808
FDB53,OUT046,1787.6943413812758
DRP47,OUT019,1658.5199104616916
FDA14,OUT013,1801.2413014663755
DRC24,OUT035,1799.288550520143
FDW21,OUT018,1727.634584170811
